PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,NHSPOP,NHSRESP_RATE,NHSAGG,NHSSBJ,NHSQ1,NHSQ2,NHSQ3,NHSQ4,NHSQ5,NHSQ6
10000291,10000291,K00082,1,255,84,14,,85,89,85,91,92,87
10000291,10000291,K00108,1,60,87,14,,83,97,90,95,88,93
10000291,10000291,K00109,1,40,82,14,,73,88,93,95,85,88
10000291,10000291,K00119,1,45,83,14,,86,91,86,91,89,91
10000291,10000291,K00169,1,40,88,13,005,79,89,89,84,84,79
10000291,10000291,K00308,1,40,88,14,,79,89,89,84,84,79
10000824,10000824,BSANF_B700,1,100,70,14,,82,93,85,88,90,76
10000824,10000824,BSANF_B740,1,215,78,13,005,81,95,87,91,91,84
10000824,10000824,BSCYNF_B702,1,20,91,14,,100,95,95,95,95,90
10000824,10000824,BSCYNF_B730,1,215,78,13,005,81,95,87,91,91,84
10000824,10000824,BSMNF_B701,1,30,82,14,,68,94,81,97,97,87
10000824,10000824,BSMNF_B761,1,215,78,13,005,81,95,87,91,91,84
10000824,10000824,BSMWF_B720,1,60,89,14,,80,98,90,90,88,92
10000824,10000824,BSOTF_B930,1,25,93,14,,85,100,93,89,100,85
10000824,10000824,BSPSF_86G3,1,215,78,13,005,81,95,87,91,91,84
10000824,10000824,BSPTF_B160,1,20,92,14,,82,100,91,95,95,91
10000824,10000824,DHODPF_B991,1,25,100,14,,91,100,83,91,78,74
10000886,10000886,L2EG001EUU,1,45,82,14,,91,96,96,93,93,93
10000886,10000886,L2EG002EUU,1,25,96,14,,92,100,100,100,96,100
10000886,10000886,L2EG015EDU,2,15,83,14,,80,93,73,87,80,87
10000886,10000886,L3EG021IUU,1,20,92,14,,68,95,86,95,86,100
10000886,10000886,L3EG029IUU,1,15,80,14,,81,100,94,94,94,94
10000886,10000886,L3EG032EUU,1,110,62,14,,64,72,77,80,84,69
10000886,10000886,L3EG033EUU,1,25,93,14,,48,78,70,85,78,59
10000886,10000886,L3EG034EUU,1,20,76,14,,89,95,95,100,95,84
10000886,10000886,L3FR007FUU,1,20,54,24,,85,75,67,79,87,82
10000961,10000961,B160UPHYSIO-FT-BSC,1,50,78,14,,92,92,96,94,96,96
10000961,10000961,B960UOT-FT-BSC,1,40,82,14,,78,95,93,85,93,88
10000975,10000975,KBN1ADN1,1,150,68,14,,87,95,85,93,92,91
10000975,10000975,KBN1CHN1,1,55,82,14,,85,91,85,87,87,85
10000975,10000975,KBN1MHN1,1,30,68,14,,75,89,82,93,86,82
10000975,10000975,KDP2ODP1,1,25,96,14,,88,88,83,92,96,79
10000975,10000975,KFC1HSC1,1,25,93,13,005,88,88,84,92,96,80
10001143,10001143,PHSDGAPRPAR,1,10,63,14,,83,100,92,100,100,92
10001143,10001143,PHSDGSEPADU,1,115,76,14,,86,90,82,87,85,83
10001143,10001143,PHSDGSEPCHI,1,10,59,14,,90,100,100,100,100,100
10001143,10001143,PHSDGSEPMEN,1,10,71,14,,70,70,70,90,100,80
10001143,10001143,PHSDGSEPMID,1,25,96,14,,96,96,92,100,100,100
10001143,10001143,PHSDGSEPOCC,1,25,65,14,,75,96,100,96,96,92
10001143,10001143,PHSDGSEPODP,1,15,81,14,,94,100,82,100,94,94
10001143,10001143,PHSDGSEPRAD,1,15,77,14,,88,100,100,100,100,88
10001282,10001282,21FJAH-N-ANR1,1,10,80,14,,67,100,75,92,92,83
10001282,10001282,21FMDW-N-MDW1,1,30,80,14,,78,94,91,94,94,91
10001282,10001282,21FMNU-N-CNU1,1,15,84,24,,88,100,100,100,94,81
10001282,10001282,21FMNU-N-MHN1,1,10,56,14,,80,100,70,90,90,80
10001282,10001282,21FNUA-N-NUA1,1,200,66,14,,90,93,86,96,93,87
10001282,10001282,21FNUR-N-NUC1,1,40,84,14,,95,100,98,98,93,90
10001282,10001282,21FNUR-N-NUL1,1,20,90,14,,78,94,83,89,83,78
10001282,10001282,21FNUR-N-NUM1,1,60,78,14,,74,94,82,97,92,84
10001282,10001282,21FOPT-N-OPT1,1,30,74,14,,86,97,97,97,97,97
10001282,10001282,21FPHS-N-PSO1,1,45,86,14,,79,93,98,93,93,86
10001282,10001282,25FOPD-N-OPD4,1,25,92,14,,70,87,96,100,87,83
10001478,10001478,USMIDB,1,35,93,14,,100,100,97,95,89,95
10001478,10001478,USNUAB,1,50,98,14,,86,90,90,96,88,90
10001478,10001478,USNUCB,1,55,92,14,,72,89,91,94,85,89
10001478,10001478,USNUMB,1,15,94,14,,63,94,69,81,94,69
10001478,10001478,USRDIA,1,55,100,14,,100,96,98,98,98,100
10001478,10001478,USRTHY,1,30,97,14,,86,86,86,93,82,89
10001478,10001478,USSLTY,1,25,93,14,,74,89,93,89,78,81
10001726,10001726,110,1,20,82,24,,94,100,89,94,100,94
10001726,10001726,125,1,30,84,14,,100,97,97,97,100,94
10001726,10001726,127,1,20,72,14,,100,100,94,100,100,94
10001726,10001726,128,1,150,78,13,005,97,97,94,95,99,93
10001726,10001726,135,1,145,88,14,,83,93,88,93,94,90
10001726,10001726,137,1,15,88,14,,73,100,93,93,87,93
10001726,10001726,141,1,80,84,14,,90,98,94,96,99,90
10001726,10001726,35,1,15,88,14,,93,100,93,100,100,100
10001726,10001726,5,1,75,77,14,,96,96,93,92,99,92
10001726,10001726,50,1,35,95,14,,100,100,89,94,86,94
10001883,10001883,B620DM,1,25,92,14,,92,96,96,92,96,88
10001883,10001883,B700DM,1,150,70,14,,47,91,83,89,92,81
10001883,10001883,B701DM,1,40,79,14,,46,95,73,80,90,76
10001883,10001883,B702DM,1,20,85,14,,55,77,86,73,86,86
10001883,10001883,B720DM,1,40,84,14,,79,97,97,97,92,89
10001883,10001883,B761DM,1,10,63,24,,40,70,90,70,100,80
10003645,10003645,UBSR3KSRA,1,140,73,14,,74,89,81,91,83,78
10003645,10003645,UBSR3KSRC,1,35,80,14,,80,80,89,94,89,89
10003645,10003645,UBSR3KSRD,1,65,76,14,,70,95,83,86,94,80
10003645,10003645,UBSR3KSRM,1,15,73,14,,56,94,63,81,94,75
10003645,10003645,UBSR3MSPT,1,35,89,14,,94,100,82,85,85,85
10003645,10003645,UBSR4MJNTDT,1,15,68,14,,88,88,88,94,88,88
10003678,10003678,BSHNURUFADN1ADN02,1,130,70,14,,78,87,77,86,86,80
10003678,10003678,BSHNURUFCHN1CHN01,1,25,68,14,,81,74,85,81,81,74
10003678,10003678,BSHNURUFLDN1LDN01,1,15,93,14,,79,93,93,86,100,93
10003678,10003678,BSHNURUFMHN1MHN01,1,25,72,14,,65,87,61,74,87,78
10003678,10003678,BSHNUUFMWN1MWN02,1,40,84,14,,74,100,84,82,92,84
10003861,10003861,BSANR,1,45,79,14,,89,96,83,87,89,91
10003861,10003861,BSMHN,1,20,72,14,,90,100,100,95,100,95
10003861,10003861,BSSLT,1,40,93,14,,95,100,100,97,92,97
10003861,10003861,DIETA,1,25,100,14,,88,96,77,88,77,92
10003861,10003861,PHYSI,1,25,93,14,,96,100,100,100,96,100
10003957,10003957,3000001819,1,15,88,14,,86,100,100,100,100,100
10003957,10003957,3500000458,1,120,61,14,,79,88,82,89,92,85
10004048,10004048,UDDIENUT,1,20,95,14,,80,95,70,80,74,70
10004048,10004048,UDHUMNUT,1,15,93,24,,79,79,85,77,62,54
10004078,10004078,2384A,1,35,73,14,,89,100,89,94,97,97
10004078,10004078,3603A,1,15,88,14,,86,93,86,93,93,93
10004078,10004078,3644A,1,30,68,14,,67,87,73,73,73,83
10004078,10004078,3769A,1,20,95,14,,74,84,100,79,89,84
10004078,10004078,3975A,1,130,73,14,,67,95,81,91,87,83
10004078,10004078,3976A,1,130,82,14,,71,93,92,93,90,95
10004078,10004078,3977A,1,45,68,14,,74,93,76,91,93,89
10004078,10004078,3978A,1,15,78,14,,57,79,57,86,93,71
10004078,10004078,4136A,1,20,79,24,,74,100,74,89,84,95
10004180,10004180,K0007,1,65,82,14,,78,91,97,94,95,95
10004180,10004180,K0009,1,25,71,14,,92,100,96,96,84,88
10004180,10004180,K0010,1,80,76,14,,89,83,95,96,96,90
10004351,10004351,144B70ZK3,1,260,88,13,005,76,92,82,90,89,83
10004351,10004351,144B720K3,1,55,92,14,,69,98,87,93,87,89
10004351,10004351,144B731K3,1,40,89,14,,74,95,90,95,92,85
10004351,10004351,144B741K3,1,100,89,14,,83,92,78,89,87,82
10004351,10004351,144B750K2,1,20,95,14,,90,85,90,90,100,85
10004351,10004351,144B761K3,1,40,84,14,,66,83,73,85,88,78
10004930,10004930,MC10-MY,1,10,71,14,,30,90,100,100,70,60
10004930,10004930,MC10-NB,1,15,71,24,,80,100,93,100,87,87
10004930,10004930,MC10-NJ,1,10,73,14,,91,100,90,100,91,91
10004930,10004930,MC10-NT,1,70,59,14,,72,79,86,89,93,77
10004930,10004930,MC10-NTS,1,40,75,14,,87,92,95,100,92,92
10004930,10004930,MC10-OT,1,40,83,14,,74,100,90,95,97,87
10004930,10004930,MC10-PZ,1,25,93,14,,58,96,96,96,100,88
10004930,10004930,MC11-DOS,1,20,64,14,,67,100,89,94,94,89
10005343,10005343,NAM-BSC-AN,1,180,64,14,,77,87,86,88,92,88
10005343,10005343,NAM-BSC-MC,1,25,93,14,,78,100,85,93,96,81
10005790,10005790,10900,1,50,94,13,011,79,92,83,91,94,85
10005790,10005790,11835,1,20,87,14,,50,70,80,95,90,80
10005790,10005790,11840,1,220,92,14,,70,89,82,89,86,83
10005790,10005790,11841,1,35,84,14,,78,95,86,92,95,89
10005790,10005790,11842,1,40,93,14,,56,92,85,90,92,82
10005790,10005790,11864,1,35,89,14,,100,100,100,100,97,94
10005790,10005790,11869,1,45,87,14,,87,98,89,96,93,93
10005790,10005790,11873,1,50,94,14,,79,92,83,91,94,85
10005790,10005790,11878,1,80,98,14,,96,95,96,99,98,95
10005790,10005790,11881,1,35,92,14,,97,100,94,97,97,94
10005790,10005790,12035,1,65,94,14,,91,95,92,95,92,91
10006299,10006299,SSRH-04330,1,150,71,13,005,59,76,80,84,87,79
10006299,10006299,SSRH-04331,1,35,52,14,,62,68,74,94,88,88
10006299,10006299,SSRH-04458,1,20,100,14,,28,44,78,67,78,61
10006299,10006299,SSTF-00269,1,20,86,24,,72,94,94,94,100,89
10006299,10006299,SSTF-00270,1,20,71,14,,70,95,75,85,90,85
10006299,10006299,SSTF-01036,1,20,100,14,,94,94,100,94,100,94
10006299,10006299,SSTF-02271,1,50,78,14,,65,73,78,76,88,76
10006299,10006299,SSTF-03004,1,20,86,14,,67,100,100,100,100,100
10006566,10006566,BSCNAN001Z,1,65,89,14,,73,81,87,97,94,85
10006566,10006566,BSCNCN001W,1,10,100,14,,100,80,90,80,100,90
10006566,10006566,BSCNCN001Z,1,10,100,14,,55,82,82,91,64,82
10006566,10006566,BSCNLD001W,1,20,100,14,,90,90,85,90,95,95
10006566,10006566,BSCNMH001W,1,30,97,14,,90,97,97,100,100,94
10006566,10006566,BSCNMH001Z,1,20,95,14,,89,94,100,100,100,94
10006566,10006566,MIDPRS002W,1,215,96,13,005,83,90,92,96,96,91
10006566,10006566,MIDPRS002Z,1,215,96,13,005,83,90,92,96,96,91
10006840,10006840,K0299,1,60,95,14,,67,84,86,91,97,91
10006840,10006840,K0385,1,70,88,14,,74,85,83,90,85,78
10006842,10006842,BN_NURSF,1,25,93,13,011,100,96,100,100,100,89
10006842,10006842,BSC_DGRADF,1,25,93,13,011,100,96,100,100,100,89
10006842,10006842,BSC_DR,1,30,78,14,,77,90,94,97,90,97
10006842,10006842,BSC_OCT,1,25,93,14,,100,96,100,100,100,89
10006842,10006842,BSC_OR,1,30,90,14,,89,86,96,89,79,86
10006842,10006842,BSC_ORTHOF,1,25,93,13,011,100,96,100,100,100,89
10006842,10006842,BSC_OTF,1,25,93,13,011,100,96,100,100,100,89
10006842,10006842,BSC_PHYTHF,1,25,93,13,011,100,96,100,100,100,89
10006842,10006842,BSC_PYT,1,40,98,14,,98,98,90,93,95,88
10006842,10006842,BSC_RADF,1,25,93,13,011,100,96,100,100,100,89
10006842,10006842,BSC_RT,1,25,89,14,,79,92,88,92,96,96
10006842,10006842,B_NURS,1,35,92,14,,82,71,82,88,97,88
10006842,10006842,DIP_DNTH,1,10,73,14,,91,100,82,100,91,100
10007138,10007138,CBSCADNUR,1,85,73,14,,70,88,83,94,86,87
10007138,10007138,CBSCCHNUR,1,30,97,14,,66,90,97,93,97,97
10007138,10007138,CBSCLDNUR,1,10,79,14,,91,91,100,100,100,82
10007138,10007138,CBSCMHNUR,1,25,63,14,,69,85,77,85,88,81
10007138,10007138,CBSCMIDWF,1,20,81,14,,90,100,100,95,100,95
10007138,10007138,CBSCOCCTH,1,30,65,14,,97,97,97,90,94,97
10007138,10007138,CBSCPODIA,1,25,92,14,,96,96,100,96,100,96
10007138,10007138,CFDSDENNU,1,20,84,13,005,95,100,100,100,100,100
10007138,10007138,CFDSPMSCI,1,20,84,14,,95,100,100,100,100,100
10007139,10007139,BSCMID,1,30,78,14,,96,100,93,89,89,89
10007139,10007139,BSCNAD,1,100,79,14,,75,90,91,94,95,90
10007139,10007139,BSCNCH,1,15,100,14,,54,77,69,77,77,69
10007139,10007139,BSCNMH,1,20,95,14,,80,95,90,95,95,90
10007140,10007140,UF0304-00,1,40,72,11,2,76,89,76,89,89,84
10007140,10007140,US0333-00,1,80,78,14,,93,89,89,93,94,89
10007140,10007140,US0333-00,2,15,78,22,04,79,86,93,86,79,86
10007140,10007140,US0335-00,1,20,95,14,,90,100,95,95,90,90
10007140,10007140,US0337-00,1,55,91,14,,77,96,92,89,87,94
10007140,10007140,US0337-00,2,15,76,24,,77,92,92,92,77,85
10007140,10007140,US0338-00,1,60,97,14,,84,100,95,93,91,78
10007140,10007140,US0342-00,1,35,73,14,,76,89,76,89,89,84
10007140,10007140,US0610JAN-01,1,355,73,14,,76,91,86,86,90,83
10007140,10007140,US0610JAN-02,1,75,70,14,,72,97,96,99,95,92
10007140,10007140,US0610JAN-03,1,70,67,14,,53,97,84,96,96,84
10007140,10007140,US0610SEP-01,1,355,73,14,,76,91,86,86,90,83
10007140,10007140,US0610SEP-02,1,75,70,14,,72,97,96,99,95,92
10007140,10007140,US0610SEP-03,1,70,67,14,,53,97,84,96,96,84
10007140,10007140,US0610SEP-04,1,25,83,14,,68,80,80,80,80,60
10007141,10007141,NUNUAD170,1,220,74,14,,89,89,89,91,91,89
10007141,10007141,NUNUCH170,1,35,87,14,,94,91,97,97,94,91
10007141,10007141,NUNUMH170,1,45,59,14,,64,83,74,94,89,85
10007141,10007141,NUOPDP150,1,15,81,14,,85,100,92,100,100,85
10007141,10007141,NUPARA101,1,10,73,24,,55,100,91,100,91,100
10007141,10007141,PWMWRO140,1,20,87,14,,65,100,85,100,90,95
10007141,10007141,PWMWRT118,1,335,72,13,005,84,90,88,93,92,89
10007141,10007141,PWPHTP105,1,20,95,14,,100,100,100,95,100,89
10007141,10007141,ULNUAD110,1,220,74,14,,89,89,89,91,91,89
10007141,10007141,ULNUMH110,1,45,59,14,,64,83,74,94,89,85
10007144,10007144,SO0214,1,35,79,11,2,97,94,100,97,91,97
10007144,10007144,SO0361,1,35,79,14,,97,94,100,97,91,97
10007146,10007146,K0192,1,55,70,14,,91,95,93,93,95,93
10007146,10007146,K0193,1,40,65,14,,95,95,90,95,95,85
10007146,10007146,K0194,1,110,66,14,,91,98,86,92,87,86
10007146,10007146,K0195,1,35,65,14,,95,95,92,92,95,95
10007146,10007146,K0196,1,10,80,14,,67,83,100,100,100,100
10007146,10007146,K0197,1,10,86,14,,92,100,100,100,100,100
10007147,10007147,HHDIET-DIETETICS,1,15,71,14,,87,93,87,93,73,60
10007147,10007147,HHMBS-MIDWIFERY,1,10,73,14,,55,100,64,73,64,55
10007147,10007147,HHMW-MIDWIFERY,1,45,86,14,,67,93,74,63,86,81
10007147,10007147,HHNURA-NURSING_ADULT,1,185,81,14,,64,89,71,89,79,81
10007147,10007147,HHNURC-NURSING_CHILD,1,30,89,14,,68,74,90,97,97,97
10007147,10007147,HHNURLD-LEARN_DIS_MH,1,40,89,14,,64,83,79,86,90,88
10007147,10007147,HHNURMH-NURS_MENT_HEALTH,1,45,84,14,,72,88,74,84,84,79
10007147,10007147,HHPHY-PHYSIOTHERAPY,1,40,93,14,,87,95,85,87,87,79
10007147,10007147,HHRGI-RADIO_IMAGING,1,95,84,14,,90,94,78,88,81,84
10007147,10007147,HHRTO-RADIO_ONCOLOGY,1,25,83,14,,92,100,96,96,96,100
10007148,10007148,00000025,1,35,92,14,,83,100,94,100,100,91
